named_entity_urn,ref,token_position
urn:cite2:hmt:place.v1:place195,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,3
urn:cite2:hmt:place.v1:place330,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,4
urn:cite2:hmt:place.v1:place351,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,79
urn:cite2:exploreHomer:place.v1:place68,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,249
urn:cite2:exploreHomer:place.v1:place69,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,68
urn:cite2:exploreHomer:place.v1:place70,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,300
urn:cite2:exploreHomer:place.v1:place71,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,95
urn:cite2:hmt:place.v1:place188,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,110
urn:cite2:exploreHomer:place.v1:place72,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.600,68
urn:cite2:hmt:place.v1:place120,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,63
urn:cite2:hmt:place.v1:place120,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,244
urn:cite2:hmt:place.v1:place362,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,61
urn:cite2:hmt:place.v1:place376,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,17
urn:cite2:exploreHomer:place.v1:place73,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,138
urn:cite2:exploreHomer:place.v1:place74,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,126
urn:cite2:hmt:place.v1:place326,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,167
urn:cite2:hmt:place.v1:place100,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,133
urn:cite2:hmt:place.v1:place100,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,138
urn:cite2:hmt:place.v1:place325,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,165
urn:cite2:exploreHomer:place.v1:place75,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,6
urn:cite2:exploreHomer:place.v1:place75,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,7
urn:cite2:hmt:place.v1:place84,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,75
urn:cite2:hmt:place.v1:place3,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,23
urn:cite2:hmt:place.v1:place5,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,74
urn:cite2:exploreHomer:place.v1:place76,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,301
urn:cite2:exploreHomer:place.v1:place77,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,276
urn:cite2:hmt:place.v1:place57,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.720,215
